country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,3000,3000,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,955k,1.3M,1.35M,1.69M,2.1M,2.62M,2.98M,3.72M,3.4M,3.44M,4.12M,3.96M,3.93M,4.15M,4.5M,4.85M,5.19M,5.42M,5.92M
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,18.9M,18.9M
Argentina,,,,,,,,,,4.44M,4.48M,4.53M,4.93M,5.42M,5.79M,6.08M,7.68M,8.29M,9.84M,10M,13.2M,18.6M,21.6M,18.4M,15.4M
Armenia,,,,,,111k,110k,131k,169k,221k,269k,329k,468k,516k,526k,563k,715k,965k,1.08M,1.2M,1.19M,1.26M,1.48M,1.62M,1.87M
Australia,2.52M,2.73M,2.93M,3.16M,3.21M,3.5M,3.44M,3.46M,3.39M,4.37M,4.76M,4.94M,5.46M,5.81M,6.28M,7.1M,7.79M,8.21M,9.05M,9.48M,9.81M,10.4M,10.9M,11.4M,11.6M
Austria,,,,,,7.53M,8.35M,8.27M,8.38M,8.37M,8.21M,10M,9.88M,9.68M,10.1M,9.88M,9.87M,11M,10.7M,11M,10.6M,11.5M,11.5M,11M,11.9M
Azerbaijan,,432k,654k,1.15M,1.2M,1.33M,1.13M,1.14M,1.48M,1.47M,1.83M,1.84M,1.63M,2.16M,2.36M,3.18M,3.55M,3.87M,4.29M,4.24M,4.1M,4.28M,4.11M,4.91M,5.57M
Burundi,36k,35k,10k,16k,27k,28k,35k,,,,,,,,,,,,,,,,,,
Belgium,,5.64M,7.55M,7.78M,6.41M,7.93M,6.57M,6.77M,7.27M,8.78M,9.33M,7.85M,8.37M,8.89M,8.78M,8.8M,9.73M,9.58M,10.8M,11M,10.8M,13.4M,12.1M,13.1M,14.2M
Bangladesh,830k,911k,866k,992k,1.1M,1.13M,1.07M,1.16M,1.41M,1.56M,1.77M,1.82M,2.33M,875k,2.25M,1.91M,2.13M,2.27M,1.46M,,,,,,
Bulgaria,3.52M,3.01M,3.06M,2.59M,2.38M,2.34M,2.73M,3.19M,3.4M,3.88M,4.24M,4.18M,4.51M,5.73M,4.99M,3.68M,3.8M,3.76M,3.93M,4.16M,4.63M,5.39M,6.23M,6.7M,7.01M
Bahrain,,,,,,,,,,,,,,,,,,,,,4.74M,3.29M,3.14M,2.87M,2.95M
Belarus,,,,,,4.75M,4.01M,6.16M,6.52M,6.92M,6.6M,6.81M,7.51M,6.32M,6.44M,7.46M,7.54M,8.43M,8.84M,7.24M,6.97M,8.34M,9.21M,9.33M,9.22M
Bermuda,,,,,,,140k,145k,141k,156k,161k,170k,181k,192k,,,,,,,,,,,
Bolivia,249k,269k,285k,299k,253k,201k,222k,217k,304k,346k,386k,472k,526k,589k,518k,604k,775k,788k,837k,932k,965k,940k,997k,1.06M,1.16M
Brazil,2600000,3800000,4010000M,4170000,2860000,3230000,2670000,2340000,3230000,2970000,3360000,3890000,4660000,5240000,4920000,6460000,7810000,8500000,8870000,9620000,9480000,8870000,10600000,10600000,10600000
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,72k
Central African Republic,,,,,,,,5000,6000,7000,8000,11k,,,,38k,,,,,,,,,
Canada,,,,,,,,,,,,46.9M,50M,51.7M,47.5M,53.6M,61.9M,65.2M,65.8M,63.7M,56M,53M,55M,38.1M,37.8M
Switzerland,,,,,,,,,17.5M,,,,,17.4M,16.5M,15.9M,18.9M,20.3M,20.3M,19.8M,22.1M,21.5M,22.5M,24.6M,19.8M
Chile,,,,,,1.53M,1.34M,1.44M,1.51M,1.73M,2.03M,2.26M,2.45M,2.32M,2.36M,2.74M,3.22M,3.45M,3.67M,3.84M,4.1M,4.27M,4.37M,4.61M,4.09M
China,4.52M,5.06M,5.32M,8.43M,9.23M,10.5M,12.1M,16.6M,20.2M,28.9M,31M,34.5M,41M,45.8M,47.7M,57.4M,70.3M,83.2M,98.2M,117M,128M,135M,143M,150M,155M
"Congo Dem. Rep.",,,,50k,50k,,,,,,,,,,,,,,,,356k,424k,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,161k,180k,,,,,,
Colombia,1.06M,929k,1.07M,1.09M,1.1M,1.24M,1.38M,1.28M,1.18M,1.41M,1.55M,,2.03M,2.04M,2.12M,2.34M,2.52M,3.17M,3.6M,3.91M,3.86M,3.79M,4.02M,4.37M,4.48M
